"filename", "language", "JSON with Comments", "HTML", "XML", "TypeScript", "JSON", "JavaScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Next\app\config\api.ts", "TypeScript", 0, 0, 0, 246, 0, 0, 0, 0, 0, 45, 291
"e:\Workspace\Edu_Learn_Next\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 140, 9, 27, 176
"e:\Workspace\Edu_Learn_Next\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 5, 51
"e:\Workspace\Edu_Learn_Next\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 6, 9, 103
"e:\Workspace\Edu_Learn_Next\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"e:\Workspace\Edu_Learn_Next\app\super-admin\accounts\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 367, 0, 8, 50, 425
"e:\Workspace\Edu_Learn_Next\app\super-admin\accounts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 489, 0, 16, 48, 553
"e:\Workspace\Edu_Learn_Next\app\super-admin\all\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 329, 0, 8, 30, 367
"e:\Workspace\Edu_Learn_Next\app\super-admin\documents-crawl\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 261, 0, 1, 30, 292
"e:\Workspace\Edu_Learn_Next\app\super-admin\documents-user\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 361, 0, 15, 28, 404
"e:\Workspace\Edu_Learn_Next\app\super-admin\events\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 8, 21, 166
"e:\Workspace\Edu_Learn_Next\app\super-admin\events\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 517, 0, 11, 48, 576
"e:\Workspace\Edu_Learn_Next\app\super-admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 0, 9, 100
"e:\Workspace\Edu_Learn_Next\app\super-admin\notification\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 7, 23, 287
"e:\Workspace\Edu_Learn_Next\app\super-admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 234, 0, 1, 16, 251
"e:\Workspace\Edu_Learn_Next\app\super-admin\posts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 248, 0, 0, 17, 265
"e:\Workspace\Edu_Learn_Next\app\user\chat\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 173, 0, 0, 15, 188
"e:\Workspace\Edu_Learn_Next\app\user\classes\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 8, 64
"e:\Workspace\Edu_Learn_Next\app\user\community\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 342, 0, 7, 30, 379
"e:\Workspace\Edu_Learn_Next\app\user\documents\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 158, 0, 6, 15, 179
"e:\Workspace\Edu_Learn_Next\app\user\exercises\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 291, 0, 0, 28, 319
"e:\Workspace\Edu_Learn_Next\app\user\exercises\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 2, 11, 58
"e:\Workspace\Edu_Learn_Next\app\user\grades\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 340, 0, 0, 12, 352
"e:\Workspace\Edu_Learn_Next\app\user\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"e:\Workspace\Edu_Learn_Next\app\user\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 173, 0, 4, 12, 189
"e:\Workspace\Edu_Learn_Next\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 2, 3, 19
"e:\Workspace\Edu_Learn_Next\interface\auth.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 9, 78
"e:\Workspace\Edu_Learn_Next\interface\chat.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"e:\Workspace\Edu_Learn_Next\interface\classes.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 1, 3, 28
